Well,average_frequency_b.sgy,average_ksi.sgy,average_time.sgy,both_stau.sgy,both_stime.sgy,difr smax dev reflect.sgy,ksi_psi.sgy,KgAver300
TRAIN,-24.0186,1.76925,34.9225,0.66275,207.0,0.37497348,-0.444518,0.6307503936192396
TRAIN,-13.6492,4.12336,36.1748,0.661746,255.0,0.29578167,-0.220896,0.6434444916430011
TRAIN,-19.5542,3.45582,43.6035,0.66168,204.0,0.3409918,-0.261158,0.6296503148953916
TRAIN,-22.1308,4.35469,37.2292,0.668979,255.0,0.29877156,-0.24684,0.6436629512403703
TRAIN,-22.3921,1.35581,37.2569,0.668663,254.0,0.3032728,-0.132508,0.6021025178298464
TRAIN,1.11245,3.56501,38.7769,0.663423,255.0,0.30929857,-0.224768,0.6431111555332821
TRAIN,-4.67525,4.17882,32.1629,0.663977,255.0,0.2694888,-0.216056,0.636615332558577
TRAIN,-19.2036,4.94827,37.8835,0.661872,255.0,0.29399797,-0.161051,0.6115203129963077
TRAIN,-16.6998,3.22053,45.4122,0.669722,255.0,0.32077688,-0.201384,0.631050639807205
TRAIN,-12.301,2.14726,38.1222,0.663199,254.0,0.3263142,-0.180574,0.628147263820058
TRAIN,-12.9142,2.6876,35.8067,0.66305,254.0,0.31038812,-0.230152,0.605520618236611
TRAIN,-10.239,2.03956,38.0048,0.661752,255.0,0.33399072,-0.230998,0.61201903221841
TRAIN,-18.5859,3.82985,34.3894,0.667282,255.0,0.31175697,-0.294668,0.6513756032276767
TRAIN,-35.9954,2.02451,32.5502,0.666267,255.0,0.3247139,-0.379396,0.6532827727779339
TRAIN,-39.908,1.89919,34.0832,0.666735,254.0,0.3476668,-0.316617,0.6029612803454715
TRAIN,-30.2859,2.76461,35.3955,0.667145,254.0,0.3675109,-0.177716,0.5868179471672118
TRAIN,-13.7701,3.17222,28.2135,0.665142,255.0,0.30077633,-0.291987,0.6638403201677392
TRAIN,-11.0399,3.48211,30.0451,0.662505,254.0,0.27127013,-0.284835,0.6593399524396125
TRAIN,-25.6846,4.47857,30.8914,0.662648,255.0,0.29806316,-0.401296,0.653997954817632
TRAIN,-15.2706,1.31005,36.2337,0.665723,255.0,0.32472894,-0.340561,0.6576763384495761
